car_name,rating,price,mileage,engine
Mercedes-Benz C-Class,4.3,"Rs.59.90 - 65.60 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",23 kmpl,1999 cc
BYD Seal,4.4,"Rs.41.50 - 53.65 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mahindra Bolero Camper,4.7,"Rs.9.85 - 10.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16 kmpl,2523 cc
Audi A6,4.3,"Rs.63.74 - 69.89 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.11 kmpl,1984 cc
BMW 3 Series,4.3,"Rs.77.10 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",13.02 kmpl,2998 cc
Isuzu D-Max,4.1,"Rs.9.98 - 10.88 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12 kmpl,2499 cc
Kia EV6,4.7,"Rs.65.97 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
MG M9,4.7,"Rs.79.95 - 84.94 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Hyundai Venue N Line,4.9,"Rs.10.66 - 15.67 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20 kmpl,998 cc
Land Rover Discovery,4.1,"Rs.1.25 - 1.37 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.37 kmpl,2997 cc
BMW 7 Series,4.3,"Rs.1.83 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.1 kmpl,2998 cc
VinFast Limo Green,,"Rs.22.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
MG Hector Plus,4.3,"Rs.17.49 - 19.69 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",13.79 kmpl,1451 cc
Mahindra Marazzo,4.6,"Rs.14.06 - 16.38 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",17.3 kmpl,1497 cc
Honda ZR-V,5,"Rs.47.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",22.8 kmpl,1993 cc
Mercedes-Benz GLC,4.5,"Rs.77 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.4 kmpl,1999 cc
Volvo XC60,4.8,"Rs.68.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1969 cc
Bajaj Qute,4.2,"Rs.3.61 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,216 cc
BMW i7,4.4,"Rs.2.10 - 2.58 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Audi Q5,4.2,"Rs.63.75 - 69.86 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",13.47 kmpl,1984 cc
Volkswagen Tayron,4.7,"Rs.41.99 - 47.74 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1984 cc
Maserati GranTurismo,4.5,"Rs.2.25 - 2.51 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,4691 cc
Bentley Continental,4.6,"Rs.5.23 - 8.45 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.9 kmpl,5993 cc
Tata Tigor EV,4.1,"Rs.12.49 - 13.75 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Hyundai Creta N Line,4.3,"Rs.19.03 - 20.10 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",18.2 kmpl,1482 cc
Mahindra XUV400 EV,4.5,"Rs.15.49 - 17.69 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz GLE,4.3,"Rs.1 - 1.17 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",16 kmpl,2999 cc
Bentley Flying Spur,4.6,"Rs.5.25 - 7.60 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.5 kmpl,5950 cc
Citroen Aircross X,4.4,"Rs.8.89 - 14.72 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",18.5 kmpl,1199 cc
Porsche Macan,4.6,"Rs.89.65 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",6.1 kmpl,1984 cc
BMW M440i,4.5,"Rs.1.09 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2998 cc
Kia Carens Clavis EV,4.6,"Rs.18.04 - 25 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Citroen Basalt X,4.5,"Rs.8.55 - 14.11 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.5 kmpl,1199 cc
BMW X6,5,"Rs.1.78 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,4395 cc
Mercedes-Benz S-Class,5,"Rs.2.20 - 2.38 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",32.3 kmpl,2999 cc
BMW XM,4.5,"Rs.2.55 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",61.9 kmpl,4395 cc
BMW i4,4.2,"Rs.72.50 - 77.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mahindra Bolero Neo Plus,4.4,"Rs.11.39 - 12.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14 kmpl,2184 cc
Mercedes-Benz Maybach GLS,4.7,"Rs.2.75 - 4.10 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,3982 cc
Mini Cooper Convertible,4.8,"Rs.59 - 62.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1998 cc
Rolls-Royce Cullinan,4.7,"Rs.10.50 - 12.25 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",6.6 kmpl,6750 cc
Audi Q8,4.4,"Rs.1.13 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,2995 cc
BMW iX,4.2,"Rs.1.40 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
BMW M8 Coupe Competition,4.4,"Rs.2.38 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",8.7 kmpl,4395 cc
Skoda Octavia RS,4.8,"Rs.49.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1984 cc
Maruti Suzuki Dzire Tour S,4.7,"Rs.6.24 - 7.10 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",26.06 kmpl,1197 cc
Citroen C5 Aircross,4.2,"Rs.37.32 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",17.5 kmpl,1997 cc
Jeep Grand Cherokee,4.5,"Rs.63 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",7.2 kmpl,1995 cc
Mercedes-Benz GLA,4.4,"Rs.51.80 - 55 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",18.9 kmpl,1950 cc
Lexus ES Electric,5,"Rs.91.20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Lexus LX,4.2,"Rs.2.81 - 2.93 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",5 kmpl,3346 cc
Aston Martin Vantage,4,"Rs.3.15 - 3.35 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",7 kmpl,3998 cc
BMW 2 Series Gran Coupe,4.7,"Rs.45.80 - 48.20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16.35 kmpl,1499 cc
Ferrari 296 GTB,4.7,"Rs.5.40 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",15.62 kmpl,2992 cc
Tata Xpres,4.5,"Rs.5.59 - 6.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1199 cc
Mini Cooper S,4.3,"Rs.44.45 - 58.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",15 kmpl,1998 cc
Maserati Levante,4.2,"Rs.1.49 - 1.64 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12 kmpl,2987 cc
BMW i5,4.8,"Rs.1.20 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
